kglID,gameID,Title,Year,Publisher,Main_Genre
397,41870,Personal Trainer: Cooking,2006,Nintendo,Misc
398,59,The Elder Scrolls IV: Oblivion,2007,Ubisoft,Role-Playing
399,16584,Dragon Warrior IV,1990,Enix Corporation,Role-Playing
400,493,Heavy Rain,2010,Sony Computer Entertainment,Adventure
401,74,Mass Effect 2,2010,Electronic Arts,Role-Playing
402,2563,Dragon Ball Z: Budokai,2002,Atari,Fighting
403,3539,Madden NFL 2002,2001,Electronic Arts,Sports
404,2242,World Class Track Meet,1986,Namco Bandai Games,Sports
405,1011,Borderlands 2,2012,Take-Two Interactive,Shooter
406,2909,The Legend of Zelda: A Link Between Worlds,2013,Nintendo,Action
407,1086,Donkey Kong,1994,Nintendo,Platform
408,5530,The Sims: Vacation,2002,Electronic Arts,Simulation
409,75,Mass Effect 3,2012,Electronic Arts,Role-Playing
410,4964,Kung Fu Panda,2008,Activision,Action
411,1509,Epic Mickey,2010,Disney Interactive Studios,Platform
412,198115,Saints Row 2,2008,THQ,Action
413,193322,Rayman,1995,Ubisoft,Platform
414,1866,Killzone 2,2009,Sony Computer Entertainment,Shooter
415,90689,Tom Clancy's Splinter Cell,2002,Ubisoft,Action
416,2195,Mike Tyson's Punch-Out!!,1987,Nintendo,Fighting
417,6461,WWE SmackDown! Shut Your Mouth,2002,THQ,Sports
418,16605,Gears of War: Ultimate Edition,2015,Microsoft Game Studios,Shooter
419,5058,NBA 2K13,2012,Take-Two Interactive,Sports
420,2254,Dragon Ball Z: Budokai Tenkaichi 3,2007,Atari,Fighting
421,NA,wwe Smackdown vs. Raw 2006,2006,N/A,Fighting
422,NA,Middle-Earth: Shadow of Mordor,2014,Warner Bros. Interactive Entertainment,Action
423,8581,Star Fox,1993,Nintendo,Shooter
424,NA,The Sims: Livin Large,2000,Electronic Arts,Misc
425,NA,World Soccer Winning Eleven 6 International,2002,Konami Digital Entertainment,Sports
426,222654,Devil May Cry,2001,Capcom,Action
427,10143,Animal Crossing: Happy Home Designer,2015,Nintendo,Simulation
428,3212,The Sims 4,2014,Electronic Arts,Simulation
429,114,Star Wars: The Old Republic,2011,Electronic Arts,Role-Playing
430,4156,Sonic Heroes,2003,Sega,Platform
431,2647,Kirby Super Star Ultra,2008,Nintendo,Platform
